,MassFeature,Orig_RSD,del_RSD,percentChange,FinalBMIS,FinalRSD,Run.Cmpd,MIS,Adjusted_Area,type,runDate,SampID,replicate,OriginalArea
1,"DL-Alanine, D3",0.760947538,0.760947538,1,"DL-Alanine, D3.Norm.Area",0,"180205_Poo_Sept29QC_1 DL-Alanine, D3","DL-Alanine, D3.Norm.Area",6897891.625,Poo,180205,Sept29QC,1,19412864
2,"DL-Alanine, D3",0.760947538,0.760947538,1,"DL-Alanine, D3.Norm.Area",0,"180205_Poo_Sept29QC_2 DL-Alanine, D3","DL-Alanine, D3.Norm.Area",6897891.625,Poo,180205,Sept29QC,2,4728604
3,"DL-Alanine, D3",0.760947538,0.760947538,1,"DL-Alanine, D3.Norm.Area",0,"180205_Poo_Sept29QC_3 DL-Alanine, D3","DL-Alanine, D3.Norm.Area",6897891.625,Poo,180205,Sept29QC,3,3548887
4,"DL-Alanine, D3",0.760947538,0.760947538,1,"DL-Alanine, D3.Norm.Area",0,"180205_Poo_Sept29QC_4 DL-Alanine, D3","DL-Alanine, D3.Norm.Area",6897891.625,Poo,180205,Sept29QC,4,4339335
5,"DL-Alanine, D3",0.760947538,0.760947538,1,"DL-Alanine, D3.Norm.Area",0,"180205_Poo_TruePoo_Full1 DL-Alanine, D3","DL-Alanine, D3.Norm.Area",6897891.625,Poo,180205,TruePoo,Full1,19825044
6,"DL-Alanine, D3",0.760947538,0.760947538,1,"DL-Alanine, D3.Norm.Area",0,"180205_Poo_TruePoo_Full2 DL-Alanine, D3","DL-Alanine, D3.Norm.Area",6897891.625,Poo,180205,TruePoo,Full2,4226577
7,"DL-Alanine, D3",0.760947538,0.760947538,1,"DL-Alanine, D3.Norm.Area",0,"180205_Poo_TruePoo_Full3 DL-Alanine, D3","DL-Alanine, D3.Norm.Area",6897891.625,Poo,180205,TruePoo,Full3,3075885
8,"DL-Alanine, D3",0.760947538,0.760947538,1,"DL-Alanine, D3.Norm.Area",0,"180205_Poo_TruePoo_Half1 DL-Alanine, D3","DL-Alanine, D3.Norm.Area",6897891.625,Poo,180205,TruePoo,Half1,13317374
9,"DL-Alanine, D3",0.760947538,0.760947538,1,"DL-Alanine, D3.Norm.Area",0,"180205_Poo_TruePoo_Half2 DL-Alanine, D3","DL-Alanine, D3.Norm.Area",6897891.625,Poo,180205,TruePoo,Half2,5130789
10,"DL-Alanine, D3",0.760947538,0.760947538,1,"DL-Alanine, D3.Norm.Area",0,"180205_Poo_TruePoo_Half3 DL-Alanine, D3","DL-Alanine, D3.Norm.Area",6897891.625,Poo,180205,TruePoo,Half3,4457845
