Hello! Welcome to the world of QE Quality Control! Minimum area for a real peak: 1000. RT flexibility: 0.4. Blank can be this fraction of a sample: 0.3. S/N ratio: 4. Parts per million flexibility: 7. Processed on: 2019-11-04 09:26:21. 
"Replicate.Name","Mass.Feature","Retention.Time","Area","Background","Height","Mass.Error.PPM","Column","SN.Flag","area.min.Flag","ppm.Flag","RT.Flag","blank.Flag","all.Flags","Area.with.QC"
"180205_Std_4uMStdsInH2O_1","Acetyl-L-carnitine",7.46,3183409408,36679612,"132830464",-2.8,"HILICPos",NA,NA,NA,NA,NA,"",3183409408
"180205_Std_4uMStdsInH2O_2","Acetyl-L-carnitine",7.36,2638594304,31567094,"109837736",-3.3,"HILICPos",NA,NA,NA,NA,NA,"",2638594304
"180205_Std_4uMStdsInMatrix_1","Acetyl-L-carnitine",7.45,2546998784,33088796,"110455528",-2.5,"HILICPos",NA,NA,NA,NA,NA,"",2546998784
"180205_Std_4uMStdsInMatrix_2","Acetyl-L-carnitine",7.38,2584742912,30016288,"111946136",-3.5,"HILICPos",NA,NA,NA,NA,NA,"",2584742912
"180205_Blk_MQBlk_1","Acetyl-L-carnitine",7.16,29775,173480,"8854",3.6,"HILICPos","SN.Flag",NA,NA,NA,"blank.Flag","SN.Flag, blank.Flag",29775
"180205_Blk_MQBlk_2","Acetyl-L-carnitine",7.36,99070,225491,"18792",3.4,"HILICPos","SN.Flag",NA,NA,NA,"blank.Flag","SN.Flag, blank.Flag",99070
"180205_Blk_MQBlk_3","Acetyl-L-carnitine",7.23,98028,323145,"13507",3.8,"HILICPos","SN.Flag",NA,NA,NA,"blank.Flag","SN.Flag, blank.Flag",98028
"180205_Blk_SWBlk_1","Acetyl-L-carnitine",7.46,852937,958718,"33177",0.2,"HILICPos","SN.Flag",NA,NA,NA,NA,"SN.Flag, ",852937
"180205_Blk_SWBlk_2","Acetyl-L-carnitine",7.17,23590,192214,"5432",3.8,"HILICPos","SN.Flag",NA,NA,NA,"blank.Flag","SN.Flag, blank.Flag",23590
"180205_Blk_SWBlk_3","Acetyl-L-carnitine",7.26,41062,185546,"8025",3.4,"HILICPos","SN.Flag",NA,NA,NA,"blank.Flag","SN.Flag, blank.Flag",41062
"180205_Poo_Sept29QC_1","Acetyl-L-carnitine",7.42,9235865,1271455,"474214",-1.8,"HILICPos",NA,NA,NA,NA,NA,"",9235865
"180205_Poo_Sept29QC_2","Acetyl-L-carnitine",7.45,7620397,1729707,"398706",-1.9,"HILICPos",NA,NA,NA,NA,NA,"",7620397
"180205_Poo_Sept29QC_3","Acetyl-L-carnitine",7.46,7714257,1143670,"400905",-2.4,"HILICPos",NA,NA,NA,NA,NA,"",7714257
"180205_Poo_Sept29QC_4","Acetyl-L-carnitine",7.47,7936353,1174848,"397787",-2.4,"HILICPos",NA,NA,NA,NA,NA,"",7936353
"180205_Poo_TruePoo_Full1","Acetyl-L-carnitine",7.46,23280266,973191,"1022641",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",23280266
"180205_Poo_TruePoo_Full2","Acetyl-L-carnitine",7.5,22073188,1906852,"1028565",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",22073188
"180205_Poo_TruePoo_Full3","Acetyl-L-carnitine",7.46,22741946,1164434,"1004886",-2.7,"HILICPos",NA,NA,NA,NA,NA,"",22741946
"180205_Poo_TruePoo_Half1","Acetyl-L-carnitine",7.46,12621929,1127932,"506056",-1.8,"HILICPos",NA,NA,NA,NA,NA,"",12621929
"180205_Poo_TruePoo_Half2","Acetyl-L-carnitine",7.48,10822460,2347888,"488494",-1.9,"HILICPos",NA,NA,NA,NA,NA,"",10822460
"180205_Poo_TruePoo_Half3","Acetyl-L-carnitine",7.4,11224949,855786,"497777",-2.3,"HILICPos",NA,NA,NA,NA,NA,"",11224949
"180205_Smp_L1C32DCMless10m_A","Acetyl-L-carnitine",7.53,18193688,1039012,"841348",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",18193688
"180205_Smp_L1C32DCMless10m_B","Acetyl-L-carnitine",7.46,17119876,1086490,"817585",-1.9,"HILICPos",NA,NA,NA,NA,NA,"",17119876
"180205_Smp_L1C32DCMless10m_C","Acetyl-L-carnitine",7.41,23137940,288879,"995143",-2.4,"HILICPos",NA,NA,NA,NA,NA,"",23137940
"180205_Smp_L1C32DCMless20m_A","Acetyl-L-carnitine",7.45,14169928,977119,"639687",-2,"HILICPos",NA,NA,NA,NA,NA,"",14169928
"180205_Smp_L1C32DCMless20m_B","Acetyl-L-carnitine",7.47,31756450,0,"1427746",-2.3,"HILICPos",NA,NA,NA,NA,NA,"",31756450
"180205_Smp_L1C32DCMless20m_C","Acetyl-L-carnitine",7.41,28675170,0,"1304700",-2.3,"HILICPos",NA,NA,NA,NA,NA,"",28675170
"180205_Smp_L1C33DCM_A","Acetyl-L-carnitine",7.47,16532565,1061327,"821392",-2.2,"HILICPos",NA,NA,NA,NA,NA,"",16532565
"180205_Smp_L1C33DCM_B","Acetyl-L-carnitine",7.44,38313512,230631,"1707052",-2,"HILICPos",NA,NA,NA,NA,NA,"",38313512
"180205_Smp_L1C33DCM_C","Acetyl-L-carnitine",7.46,13739341,935257,"603890",-2.5,"HILICPos",NA,NA,NA,NA,NA,"",13739341
"180205_Smp_L1C33DCMplus10m_A","Acetyl-L-carnitine",7.48,18834128,1191467,"860165",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",18834128
"180205_Smp_L1C33DCMplus10m_B","Acetyl-L-carnitine",7.47,26547740,87990,"1234482",-2.2,"HILICPos",NA,NA,NA,NA,NA,"",26547740
"180205_Smp_L1C33DCMplus10m_C","Acetyl-L-carnitine",7.41,20711856,865330,"925942",-2.4,"HILICPos",NA,NA,NA,NA,NA,"",20711856
"180205_Smp_L1C33DCMplus20m_A","Acetyl-L-carnitine",7.49,17166394,1318299,"852530",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",17166394
"180205_Smp_L1C33DCMplus20m_B","Acetyl-L-carnitine",7.47,16018757,1106340,"844393",-2.2,"HILICPos",NA,NA,NA,NA,NA,"",16018757
"180205_Smp_L1C33DCMplus20m_C","Acetyl-L-carnitine",7.46,18409270,866459,"832437",-2.2,"HILICPos",NA,NA,NA,NA,NA,"",18409270
"180205_Smp_L2C1DCMless10m_A","Acetyl-L-carnitine",7.49,23089018,1915704,"1088790",-2,"HILICPos",NA,NA,NA,NA,NA,"",23089018
"180205_Smp_L2C1DCMless10m_B","Acetyl-L-carnitine",7.49,15387718,1126190,"701728",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",15387718
"180205_Smp_L2C1DCMless10m_C","Acetyl-L-carnitine",7.4,15480859,1426721,"786006",-2.6,"HILICPos",NA,NA,NA,NA,NA,"",15480859
"180205_Smp_L2C1DCMless20m_A","Acetyl-L-carnitine",7.49,14747925,1442320,"738849",-2,"HILICPos",NA,NA,NA,NA,NA,"",14747925
"180205_Smp_L2C1DCMless20m_B","Acetyl-L-carnitine",7.49,18900688,1122887,"921469",-2,"HILICPos",NA,NA,NA,NA,NA,"",18900688
"180205_Smp_L2C1DCMless20m_C","Acetyl-L-carnitine",7.44,10568190,1100077,"522362",-2.6,"HILICPos",NA,NA,NA,NA,NA,"",10568190
"180205_Smp_L2C2DCM_A","Acetyl-L-carnitine",7.49,21033002,976719,"946148",-2.7,"HILICPos",NA,NA,NA,NA,NA,"",21033002
"180205_Smp_L2C2DCM_B","Acetyl-L-carnitine",7.49,40176072,0,"1946813",-2.3,"HILICPos",NA,NA,NA,NA,NA,"",40176072
"180205_Smp_L2C2DCM_C","Acetyl-L-carnitine",7.43,25004206,18901,"1022964",-2,"HILICPos",NA,NA,NA,NA,NA,"",25004206
"180205_Smp_L2C2DCMplus10m_A","Acetyl-L-carnitine",7.48,29736718,1188228,"1475500",-2,"HILICPos",NA,NA,NA,NA,NA,"",29736718
"180205_Smp_L2C2DCMplus10m_B","Acetyl-L-carnitine",7.47,36174288,2067153,"1796368",-1.9,"HILICPos",NA,NA,NA,NA,NA,"",36174288
"180205_Smp_L2C2DCMplus10m_C","Acetyl-L-carnitine",7.46,30122506,1383032,"1466891",-2.6,"HILICPos",NA,NA,NA,NA,NA,"",30122506
"180205_Smp_L2C2DCMplus20m_A","Acetyl-L-carnitine",7.49,45308020,948572,"2199803",-2.2,"HILICPos",NA,NA,NA,NA,NA,"",45308020
"180205_Smp_L2C2DCMplus20m_B","Acetyl-L-carnitine",7.47,50473420,1848535,"2320291",-2.2,"HILICPos",NA,NA,NA,NA,NA,"",50473420
"180205_Smp_L2C2DCMplus20m_C","Acetyl-L-carnitine",7.46,38727528,1649202,"1718229",-2.6,"HILICPos",NA,NA,NA,NA,NA,"",38727528
"180205_Std_4uMStdsInH2O_1","Adenine",4.76,2773606144,52050608,"113241512",-4.2,"HILICPos",NA,NA,NA,NA,NA,"",2773606144
"180205_Std_4uMStdsInH2O_2","Adenine",4.66,2278571776,43412452,"84653208",-4.5,"HILICPos",NA,NA,NA,NA,NA,"",2278571776
"180205_Std_4uMStdsInMatrix_1","Adenine",4.72,2999721216,42869336,"119229168",-4.1,"HILICPos",NA,NA,NA,NA,NA,"",2999721216
"180205_Std_4uMStdsInMatrix_2","Adenine",4.72,2279221504,36324864,"84335320",-4.8,"HILICPos",NA,NA,NA,NA,NA,"",2279221504
"180205_Blk_MQBlk_1","Adenine",4.72,2561723,1241698,"100426",-3.7,"HILICPos","SN.Flag",NA,NA,NA,"blank.Flag","SN.Flag, blank.Flag",2561723
"180205_Blk_MQBlk_2","Adenine",4.75,2271859,791162,"88295",-3.7,"HILICPos","SN.Flag",NA,NA,NA,"blank.Flag","SN.Flag, blank.Flag",2271859
"180205_Blk_MQBlk_3","Adenine",4.75,3040069,717390,"121786",-3.9,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",3040069
"180205_Blk_SWBlk_1","Adenine",4.76,4913324,990103,"197815",-3.5,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",4913324
"180205_Blk_SWBlk_2","Adenine",4.73,5288971,697297,"214942",-3.6,"HILICPos",NA,NA,NA,NA,NA,"",5288971
"180205_Blk_SWBlk_3","Adenine",4.72,5136389,731440,"203361",-4.2,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",5136389
"180205_Poo_Sept29QC_1","Adenine",4.73,132941568,6151758,"5384870",-3.5,"HILICPos",NA,NA,NA,NA,NA,"",132941568
"180205_Poo_Sept29QC_2","Adenine",4.73,111411344,3216087,"4589690",-3.8,"HILICPos",NA,NA,NA,NA,NA,"",111411344
"180205_Poo_Sept29QC_3","Adenine",4.7,115394592,3428260,"4511453",-4.2,"HILICPos",NA,NA,NA,NA,NA,"",115394592
"180205_Poo_Sept29QC_4","Adenine",4.76,111376352,3261581,"4473828",-3.9,"HILICPos",NA,NA,NA,NA,NA,"",111376352
"180205_Poo_TruePoo_Full1","Adenine",4.75,246168448,5835132,"10861110",-3.9,"HILICPos",NA,NA,NA,NA,NA,"",246168448
"180205_Poo_TruePoo_Full2","Adenine",4.72,221452112,5181214,"9408765",-4.2,"HILICPos",NA,NA,NA,NA,NA,"",221452112
"180205_Poo_TruePoo_Full3","Adenine",4.73,237403728,4977736,"9969343",-4.6,"HILICPos",NA,NA,NA,NA,NA,"",237403728
"180205_Poo_TruePoo_Half1","Adenine",4.7,123185344,4760259,"4990870",-3.8,"HILICPos",NA,NA,NA,NA,NA,"",123185344
"180205_Poo_TruePoo_Half2","Adenine",4.75,98939272,4263683,"4548084",-3.8,"HILICPos",NA,NA,NA,NA,NA,"",98939272
"180205_Poo_TruePoo_Half3","Adenine",4.72,122629704,4046166,"4820204",-4,"HILICPos",NA,NA,NA,NA,NA,"",122629704
